,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,98615.0,1017.0,211.0,18.0,0.0,139.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0
1,2.0,98067.0,1076.0,451.0,120.0,3.0,283.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,40.7893501803168,1.04245949947957
2,3.0,97456.0,1154.0,593.0,332.0,4.0,459.0,2.0,0.0,0.0,0.0,527.0,0.0,0.0,11.815828774608,0.257842522658469
3,4.0,96697.0,1301.0,764.0,575.0,7.0,654.0,2.0,0.0,0.0,0.0,669.0,0.0,0.0,7.13148999768735,0.134317543186406
4,5.0,95802.0,1425.0,962.0,869.0,16.0,924.0,2.0,0.0,0.0,0.0,783.0,0.0,0.0,5.34708979494488,0.0883123104534883
5,6.0,94785.0,1631.0,1116.0,1224.0,23.0,1217.0,4.0,0.0,0.0,0.0,866.0,0.0,0.0,4.41535731462837,0.0646873707778442
6,7.0,93432.0,1933.0,1376.0,1638.0,37.0,1580.0,4.0,0.0,0.0,1064.0,1216.0,76.0,0.0,3.83851276195282,0.0503804308010153
7,8.0,91763.0,2272.0,1776.0,2100.0,40.0,2041.0,8.0,0.0,0.0,466.0,1464.0,91.19373776908024,0.0,2.94150826758624,0.0377271502520686
8,9.0,89928.0,2601.0,2089.0,2680.0,53.0,2638.0,11.0,0.0,0.0,569.0,1597.0,89.46540880503144,0.0,2.60188204761176,0.0310895571521754
9,10.0,87773.0,2961.0,2482.0,3359.0,78.0,3334.0,13.0,0.0,0.0,719.0,1873.0,92.17948717948715,0.5434782608695652,2.3518475000273,0.0265715796761823
10,11.0,85344.0,3409.0,2867.0,4093.0,88.0,4180.0,18.0,1.0,1.0,847.0,2119.0,92.36641221374046,0.2557544757033248,2.13091171087898,0.0230682464916262
11,12.0,82693.0,3918.0,3171.0,4977.0,105.0,5112.0,21.0,3.0,2.0,993.0,2352.0,91.85938945420908,0.2028397565922921,1.93249045091366,0.0202680294993316
12,13.0,79719.0,4441.0,3558.0,5878.0,118.0,6252.0,30.0,4.0,1.0,1146.0,2633.0,91.90056134723336,0.1620745542949757,1.75527761476838,0.0180125608638512
13,14.0,76583.0,4975.0,3837.0,6882.0,140.0,7547.0,31.0,5.0,1.0,1338.0,2736.0,93.1106471816284,0.5376344086021506,1.60181485556663,0.0162080856580812
