,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,98585.0,1082.0,201.0,30.0,2.0,100.0,0.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0
1,2.0,98006.0,1153.0,426.0,145.0,3.0,267.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,40.5743948770479,1.04658031339579
2,3.0,97335.0,1213.0,632.0,346.0,10.0,463.0,1.0,0.0,0.0,0.0,576.0,0.0,0.0,11.7122557848115,0.258617386298335
3,4.0,96602.0,1329.0,773.0,592.0,20.0,683.0,1.0,0.0,0.0,0.0,638.0,0.0,0.0,7.13652305924434,0.135547046958164
4,5.0,95727.0,1491.0,927.0,886.0,25.0,943.0,1.0,0.0,0.0,0.0,756.0,0.0,0.0,5.38731623657445,0.0894907968076117
5,6.0,94740.0,1659.0,1087.0,1204.0,30.0,1274.0,5.0,1.0,1.0,0.0,874.0,0.0,100.0,4.42074903320754,0.06530829084788
6,7.0,93421.0,1878.0,1407.0,1578.0,34.0,1675.0,6.0,1.0,0.0,1050.0,1204.0,74.20494699646643,0.0,3.89883580004255,0.0511942221209369
7,8.0,91639.0,2239.0,1860.0,2074.0,35.0,2142.0,10.0,1.0,0.0,452.0,1573.0,90.9456740442656,0.0,2.98450015243317,0.0382817037031125
8,9.0,89777.0,2657.0,2155.0,2717.0,41.0,2640.0,12.0,1.0,0.0,548.0,1599.0,90.28006589785832,0.0,2.64116753948131,0.0314960810977792
9,10.0,87617.0,3145.0,2509.0,3353.0,63.0,3299.0,12.0,2.0,1.0,721.0,1896.0,93.63636363636364,0.33557046979865773,2.38342146138526,0.0268512986736387
10,11.0,85137.0,3605.0,2921.0,4099.0,78.0,4145.0,13.0,2.0,0.0,852.0,2187.0,92.70946681175192,0.0,2.14827547263867,0.023212733552708
11,12.0,82362.0,4073.0,3282.0,4979.0,93.0,5193.0,16.0,2.0,0.0,958.0,2422.0,91.151284490961,0.4329004329004329,1.93996514831595,0.020325195863813
12,13.0,79409.0,4523.0,3643.0,5922.0,106.0,6372.0,21.0,4.0,2.0,1218.0,2590.0,92.97709923664122,0.0,1.7676110539518,0.0180773617849775
13,14.0,76104.0,5027.0,4087.0,6948.0,121.0,7674.0,35.0,4.0,0.0,1328.0,2896.0,92.93212036389085,0.40650406504065045,1.59590309474966,0.0161706336610903
14,15.0,72617.0,5624.0,4403.0,8011.0,138.0,9155.0,48.0,4.0,0.0,1406.0,3038.0,93.73333333333332,0.24183796856106407,1.4544305739222,0.0146732634748895
15,16.0,69028.0,6144.0,4653.0,9127.0,161.0,10828.0,53.0,6.0,2.0,1395.0,3116.0,93.0,0.7920792079207921,1.3362273046465,0.0134944920853961
16,17.0,65290.0,6675.0,4860.0,10249.0,190.0,12664.0,64.0,8.0,2.0,1407.0,3253.0,93.8,0.1774622892635315,1.251349425321,0.0126360260002723
17,18.0,61664.0,7166.0,4916.0,11293.0,196.0,14676.0,79.0,10.0,2.0,1397.0,3215.0,93.13333333333334,0.2572898799313894,1.18890222317094,0.012004827129736
18,19.0,57916.0,7509.0,5116.0,12267.0,213.0,16879.0,88.0,12.0,2.0,1409.0,3251.0,93.93333333333334,0.17331022530329288,1.14185340736521,0.0115332844438343
