,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
158,159.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2.99965608572574,2.99965608572574
159,160.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,3.29593734401366,3.29593734401366
160,161.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,3.57270310060149,3.57270310060149
161,162.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,3.82321619968806,3.82321619968806
162,163.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.04351243361319,4.04351243361319
163,164.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.23231004969242,4.23231004969242
164,165.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.39052279521569,4.39052279521569
165,166.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.52059085777909,4.52059085777909
166,167.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.62581681580538,4.62581681580538
167,168.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.70982083996821,4.70982083996821
168,169.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.77615634508853,4.77615634508853
169,170.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.82807743886704,4.82807743886704
170,171.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.86842578343352,4.86842578343352
171,172.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.89959956893897,4.89959956893897
172,173.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.92357231198771,4.92357231198771
173,174.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.9419375373075,4.9419375373075
