,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
40,41.0,88362.0,981.0,540.0,2122.0,33.0,7926.0,23.0,13.0,0.0,169.0,341.0,33.800000000000004,0.6172839506172839,1.02609920127804,0.0275419456217894
41,42.0,88017.0,960.0,548.0,2127.0,32.0,8281.0,21.0,14.0,1.0,206.0,327.0,41.2,0.6060606060606061,1.06187236569782,0.0279827938333029
42,43.0,87668.0,975.0,539.0,2119.0,32.0,8633.0,20.0,14.0,0.0,203.0,322.0,40.6,0.6578947368421052,1.05310164683266,0.0277999709041742
43,44.0,87264.0,970.0,571.0,2144.0,36.0,8980.0,21.0,14.0,0.0,199.0,373.0,39.8,0.0,1.03625892761111,0.0274704538786526
44,45.0,86874.0,983.0,569.0,2178.0,38.0,9323.0,21.0,14.0,0.0,188.0,362.0,37.6,0.0,1.02357568221615,0.0272012168588962
45,46.0,86521.0,988.0,560.0,2206.0,37.0,9650.0,24.0,14.0,0.0,209.0,331.0,41.8,0.0,1.03287476909816,0.0272470371955499
46,47.0,86154.0,1002.0,550.0,2239.0,35.0,9983.0,22.0,15.0,1.0,213.0,342.0,42.6,0.5988023952095809,1.02667595866913,0.0271023807292102
47,48.0,85751.0,1027.0,562.0,2251.0,35.0,10338.0,21.0,15.0,0.0,221.0,377.0,44.2,1.3245033112582782,1.01895225269656,0.0269360566590693
48,49.0,85349.0,1038.0,576.0,2256.0,34.0,10708.0,24.0,15.0,0.0,201.0,366.0,40.2,0.0,0.988571276203649,0.0264774770713213
49,50.0,85002.0,1042.0,547.0,2262.0,30.0,11074.0,28.0,15.0,0.0,191.0,328.0,38.2,0.0,0.989190252025244,0.0264561255107374
50,51.0,84675.0,1023.0,513.0,2279.0,26.0,11438.0,31.0,15.0,0.0,192.0,311.0,38.4,0.0,1.00877358624423,0.0267230651186605
51,52.0,84329.0,994.0,515.0,2280.0,25.0,11809.0,33.0,15.0,0.0,209.0,332.0,41.8,0.0,1.01290897440815,0.0267856629853367
52,53.0,84017.0,963.0,527.0,2249.0,23.0,12171.0,34.0,16.0,1.0,207.0,294.0,41.4,0.6211180124223602,0.987938895876189,0.0264415783276871
53,54.0,83660.0,962.0,510.0,2268.0,24.0,12526.0,33.0,17.0,1.0,209.0,326.0,41.8,0.628930817610063,0.98297164391261,0.0263653529561223
54,55.0,83322.0,946.0,500.0,2250.0,21.0,12910.0,32.0,19.0,2.0,184.0,315.0,36.8,0.0,0.961584670274147,0.0260938190349901
55,56.0,82980.0,965.0,499.0,2211.0,23.0,13271.0,31.0,20.0,1.0,205.0,320.0,41.0,0.5780346820809248,0.966620598178084,0.0262015499597922
56,57.0,82683.0,961.0,455.0,2204.0,27.0,13621.0,29.0,20.0,0.0,218.0,275.0,43.6,0.5681818181818182,0.962114239197343,0.0262048510876125
57,58.0,82369.0,946.0,442.0,2180.0,31.0,13985.0,26.0,21.0,1.0,197.0,291.0,39.4,0.0,0.93999842030914,0.0259711676625933
58,59.0,82066.0,930.0,443.0,2133.0,31.0,14351.0,25.0,21.0,0.0,175.0,282.0,35.0,0.0,0.94117600195036,0.0260734582253203
59,60.0,81770.0,913.0,426.0,2113.0,30.0,14701.0,26.0,21.0,0.0,201.0,273.0,40.2,0.5434782608695652,0.952227406798479,0.0263392183938552
60,61.0,81469.0,921.0,417.0,2086.0,30.0,15028.0,26.0,23.0,2.0,177.0,277.0,35.4,0.6211180124223602,0.965036497033974,0.0266324656369005
61,62.0,81211.0,868.0,400.0,2073.0,30.0,15372.0,23.0,23.0,0.0,187.0,243.0,37.4,0.6622516556291391,0.972403518846074,0.0268357760358959
62,63.0,80925.0,850.0,408.0,2024.0,26.0,15716.0,28.0,23.0,0.0,192.0,274.0,38.4,0.0,0.975347391751758,0.0269581138843087
63,64.0,80635.0,847.0,414.0,2006.0,27.0,16019.0,28.0,24.0,1.0,180.0,273.0,36.0,0.0,0.971967005709759,0.0269782749466562
64,65.0,80323.0,836.0,423.0,2009.0,30.0,16325.0,29.0,25.0,1.0,190.0,281.0,38.0,0.6211180124223602,0.974110845312525,0.0270690799251935
65,66.0,80042.0,846.0,422.0,1969.0,33.0,16636.0,27.0,25.0,0.0,179.0,261.0,35.8,0.0,0.957371997201339,0.0268962921165247
66,67.0,79743.0,844.0,416.0,1966.0,30.0,16946.0,28.0,27.0,2.0,207.0,276.0,41.4,0.6666666666666667,0.962116892890216,0.0270295946372622
67,68.0,79423.0,837.0,436.0,1980.0,29.0,17242.0,25.0,28.0,1.0,177.0,296.0,35.4,0.0,0.927520308442862,0.0266203697905839
68,69.0,79151.0,797.0,419.0,1955.0,33.0,17591.0,26.0,28.0,0.0,183.0,260.0,36.6,1.3071895424836601,0.932052065298863,0.0267835476514209
69,70.0,78888.0,777.0,410.0,1931.0,37.0,17908.0,21.0,28.0,0.0,181.0,246.0,36.2,0.5586592178770949,0.935300352563934,0.0269661089211251
70,71.0,78630.0,777.0,406.0,1907.0,35.0,18197.0,19.0,29.0,1.0,177.0,234.0,35.4,0.7042253521126761,0.927150006410423,0.0269903801818673
71,72.0,78388.0,771.0,378.0,1874.0,35.0,18507.0,17.0,30.0,1.0,162.0,229.0,32.4,0.6097560975609756,0.912569884903742,0.0269219255223735
72,73.0,78140.0,756.0,372.0,1837.0,35.0,18813.0,17.0,30.0,0.0,179.0,232.0,35.8,0.0,0.894646999365123,0.0268166255285348
73,74.0,77898.0,721.0,381.0,1820.0,36.0,19095.0,18.0,31.0,1.0,154.0,221.0,30.8,0.0,0.878834336227163,0.0267668728630769
74,75.0,77645.0,723.0,358.0,1788.0,34.0,19404.0,16.0,32.0,1.0,174.0,226.0,34.8,0.0,0.897783482346414,0.027280817642458
75,76.0,77409.0,703.0,361.0,1749.0,34.0,19695.0,17.0,32.0,0.0,175.0,215.0,35.0,0.0,0.901491207822966,0.0275851829796487
76,77.0,77181.0,678.0,360.0,1706.0,32.0,19995.0,15.0,33.0,1.0,158.0,212.0,31.6,0.7751937984496124,0.909231822465907,0.027940015793056
77,78.0,76955.0,684.0,368.0,1663.0,25.0,20252.0,19.0,34.0,1.0,146.0,216.0,29.2,0.6578947368421052,0.923178266609549,0.0283819831549415
78,79.0,76718.0,689.0,357.0,1630.0,28.0,20527.0,16.0,35.0,1.0,126.0,225.0,25.2,1.3793103448275863,0.974187966938914,0.029372872378323
79,80.0,76471.0,689.0,383.0,1580.0,35.0,20794.0,13.0,35.0,0.0,144.0,224.0,28.8,0.0,1.03123232716753,0.030396169459433
80,81.0,76227.0,683.0,373.0,1601.0,33.0,21032.0,15.0,36.0,1.0,159.0,227.0,31.8,0.0,1.06408072732262,0.0309503695592477
81,82.0,75958.0,688.0,380.0,1584.0,31.0,21306.0,17.0,36.0,0.0,159.0,251.0,31.8,0.9174311926605505,1.06128034425112,0.0308689162552408
82,83.0,75714.0,682.0,380.0,1586.0,34.0,21551.0,16.0,37.0,1.0,166.0,231.0,33.2,1.7241379310344827,1.05189835766763,0.0306219450896097
83,84.0,75469.0,693.0,360.0,1578.0,29.0,21814.0,19.0,38.0,1.0,157.0,226.0,31.4,0.819672131147541,1.00978304635178,0.0298809928032893
84,85.0,75207.0,693.0,362.0,1579.0,27.0,22073.0,20.0,39.0,1.0,188.0,235.0,37.6,0.0,0.991918096965317,0.0295208489639004
85,86.0,74978.0,690.0,358.0,1557.0,28.0,22331.0,19.0,39.0,0.0,177.0,208.0,35.4,0.0,0.941369784247527,0.0287248727648664
86,87.0,74745.0,660.0,342.0,1562.0,23.0,22604.0,25.0,39.0,0.0,175.0,213.0,35.0,1.5151515151515151,0.930842600836821,0.0285906032117537
87,88.0,74508.0,679.0,329.0,1542.0,23.0,22857.0,22.0,40.0,1.0,159.0,207.0,31.8,0.0,0.900430602188535,0.0282212572516196
88,89.0,74294.0,652.0,345.0,1508.0,24.0,23115.0,22.0,40.0,0.0,157.0,196.0,31.4,0.6369426751592357,0.894099887588402,0.0282739210047986
89,90.0,74098.0,631.0,334.0,1483.0,25.0,23369.0,19.0,41.0,1.0,128.0,186.0,25.6,0.6451612903225806,0.872646884412027,0.0281352647680747
90,91.0,73900.0,615.0,324.0,1458.0,25.0,23617.0,20.0,41.0,0.0,144.0,184.0,28.8,0.0,0.907872373372052,0.0289419141847782
91,92.0,73701.0,596.0,323.0,1430.0,25.0,23866.0,18.0,41.0,0.0,133.0,187.0,26.6,0.0,0.948031069450691,0.0298453713816339
92,93.0,73504.0,584.0,307.0,1419.0,25.0,24100.0,20.0,41.0,0.0,163.0,180.0,32.6,0.0,0.972485726647296,0.0304497092380065
93,94.0,73303.0,579.0,324.0,1366.0,25.0,24344.0,18.0,41.0,0.0,133.0,192.0,26.6,0.0,0.934800890346909,0.0299991881900695
94,95.0,73111.0,566.0,311.0,1348.0,22.0,24584.0,17.0,41.0,0.0,141.0,172.0,28.2,0.0,0.943021899265536,0.030247441521815
95,96.0,72909.0,571.0,297.0,1360.0,22.0,24783.0,16.0,42.0,1.0,119.0,187.0,23.8,0.6944444444444444,0.956944136161607,0.0306153552854935
96,97.0,72736.0,539.0,285.0,1348.0,23.0,25011.0,14.0,44.0,2.0,150.0,159.0,30.0,0.8695652173913043,0.969482597652402,0.0309531971698651
97,98.0,72582.0,513.0,264.0,1348.0,21.0,25213.0,15.0,44.0,0.0,169.0,145.0,33.800000000000004,0.9009009009009009,0.938708992714654,0.0305685706427082
98,99.0,72380.0,524.0,288.0,1316.0,20.0,25412.0,16.0,44.0,0.0,144.0,190.0,28.8,0.0,0.90611518767604,0.0301369428523869
99,100.0,72189.0,533.0,280.0,1277.0,21.0,25638.0,16.0,46.0,2.0,114.0,177.0,22.8,0.0,0.883989261261511,0.0299185035480392
100,101.0,72029.0,503.0,263.0,1269.0,20.0,25852.0,18.0,46.0,0.0,134.0,149.0,26.8,0.6993006993006993,0.896780449651412,0.0303514196840121
101,102.0,71865.0,482.0,268.0,1248.0,19.0,26054.0,18.0,46.0,0.0,146.0,151.0,29.2,0.0,0.89952376048407,0.030655687747311
102,103.0,71704.0,477.0,267.0,1235.0,17.0,26237.0,17.0,46.0,0.0,123.0,144.0,24.6,1.0416666666666665,0.870067850830678,0.0304026311648343
103,104.0,71531.0,511.0,259.0,1198.0,17.0,26418.0,20.0,46.0,0.0,112.0,159.0,22.4,0.0,0.880087817587828,0.0308470620431029
104,105.0,71370.0,508.0,250.0,1169.0,16.0,26622.0,18.0,47.0,1.0,130.0,148.0,26.0,0.0,0.917481532030198,0.0318079491156359
105,106.0,71218.0,498.0,237.0,1146.0,14.0,26824.0,16.0,47.0,0.0,113.0,137.0,22.6,0.0,0.919903044739153,0.0321440137684793
106,107.0,71035.0,494.0,264.0,1125.0,14.0,27005.0,15.0,48.0,1.0,114.0,164.0,22.8,1.0526315789473684,0.94074454680124,0.032752521112053
107,108.0,70851.0,500.0,277.0,1112.0,13.0,27184.0,15.0,48.0,0.0,122.0,173.0,24.4,0.0,1.00173205025311,0.0340206040511476
108,109.0,70719.0,491.0,239.0,1107.0,20.0,27363.0,13.0,48.0,0.0,104.0,120.0,20.8,0.0,0.996624714022037,0.0340838460579889
109,110.0,70553.0,483.0,242.0,1084.0,19.0,27558.0,13.0,48.0,0.0,118.0,148.0,23.6,0.0,1.0184802376018,0.034509886341771
110,111.0,70380.0,481.0,246.0,1086.0,19.0,27727.0,12.0,49.0,1.0,130.0,161.0,26.0,0.0,1.00892028836725,0.0343639613920036
111,112.0,70201.0,490.0,234.0,1092.0,19.0,27903.0,12.0,49.0,0.0,117.0,159.0,23.4,0.0,0.986832148387611,0.033968163396271
112,113.0,70050.0,487.0,227.0,1089.0,16.0,28069.0,13.0,49.0,0.0,119.0,137.0,23.8,2.197802197802198,0.998255420711126,0.0341595972671763
