,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,99862.0,106.0,18.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
1,2.0,99805.0,113.0,40.0,10.0,0.0,32.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,5.0,5.0
2,3.0,99748.0,121.0,52.0,29.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,5.0,5.0
3,4.0,99678.0,120.0,80.0,49.0,1.0,72.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,5.0,5.0
4,5.0,99607.0,132.0,80.0,85.0,2.0,94.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,5.0,5.0
5,6.0,99519.0,136.0,100.0,115.0,3.0,127.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,5.0,5.0
6,7.0,99441.0,148.0,106.0,144.0,3.0,158.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,5.0,5.0
7,8.0,99336.0,166.0,131.0,167.0,3.0,197.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,5.0,5.0
8,9.0,99214.0,188.0,161.0,198.0,3.0,235.0,1.0,0.0,0.0,0.0,107.0,0.0,0.0,5.0,5.0
9,10.0,99071.0,207.0,187.0,233.0,7.0,294.0,1.0,0.0,0.0,0.0,132.0,0.0,0.0,1175.0,76.6485485837795
10,11.0,98918.0,242.0,195.0,288.0,6.0,349.0,2.0,0.0,0.0,0.0,135.0,0.0,0.0,56.4754078942019,2.59126942953753
11,12.0,98763.0,260.0,205.0,350.0,5.0,415.0,2.0,0.0,0.0,0.0,133.0,0.0,0.0,16.3610933246717,0.60931895632665
12,13.0,98572.0,313.0,224.0,404.0,5.0,480.0,2.0,0.0,0.0,0.0,163.0,0.0,0.0,7.94388165988694,0.266130048937683
13,14.0,98362.0,353.0,239.0,468.0,9.0,566.0,3.0,0.0,0.0,0.0,179.0,0.0,0.0,5.00425865082293,0.154729779393937
14,15.0,98137.0,391.0,259.0,537.0,9.0,664.0,3.0,0.0,0.0,0.0,189.0,0.0,0.0,3.74164464868509,0.107387367442308
15,16.0,97834.0,455.0,328.0,607.0,11.0,763.0,2.0,0.0,0.0,234.0,274.0,46.8,0.0,3.14950160165475,0.0834616255207668
16,17.0,97361.0,550.0,479.0,706.0,16.0,886.0,2.0,0.0,0.0,240.0,425.0,48.0,0.0,2.34785076659351,0.0630423303514823
17,18.0,96839.0,664.0,577.0,855.0,18.0,1045.0,2.0,0.0,0.0,246.0,446.0,55.033557046979865,0.0,1.82293731644093,0.0498733460223767
18,19.0,96415.0,730.0,596.0,1006.0,22.0,1227.0,4.0,0.0,0.0,170.0,364.0,34.0,0.5050505050505051,1.47371378661146,0.0414678454341131
19,20.0,96004.0,775.0,614.0,1113.0,23.0,1464.0,6.0,1.0,1.0,155.0,370.0,31.0,1.0204081632653061,1.35899098209753,0.037720655279117
20,21.0,95683.0,783.0,553.0,1238.0,34.0,1702.0,5.0,2.0,1.0,168.0,294.0,33.6,0.904977375565611,1.30906530190537,0.035667897813184
21,22.0,95342.0,797.0,521.0,1338.0,37.0,1956.0,7.0,2.0,0.0,210.0,304.0,42.0,0.0,1.26168417710475,0.0340250919470429
22,23.0,94959.0,811.0,557.0,1422.0,37.0,2204.0,6.0,4.0,2.0,197.0,351.0,39.4,0.0,1.15713093759299,0.0318128503955692
23,24.0,94610.0,848.0,557.0,1483.0,38.0,2452.0,8.0,4.0,0.0,189.0,317.0,37.8,0.7352941176470588,1.0814859111773,0.0301695826419571
24,25.0,94273.0,853.0,520.0,1572.0,36.0,2733.0,9.0,4.0,0.0,173.0,308.0,34.599999999999994,0.0,1.03478531171439,0.0291286648094535
25,26.0,93968.0,846.0,504.0,1619.0,35.0,3014.0,10.0,4.0,0.0,205.0,285.0,41.0,0.0,1.03406991428735,0.0288918490977825
26,27.0,93625.0,839.0,497.0,1688.0,39.0,3297.0,10.0,5.0,1.0,204.0,318.0,40.8,0.6060606060606061,1.04226600253556,0.0288739608962276
27,28.0,93249.0,840.0,517.0,1732.0,36.0,3611.0,10.0,5.0,0.0,196.0,352.0,39.2,0.0,1.05143525896837,0.0288960542550708
28,29.0,92907.0,850.0,527.0,1764.0,33.0,3900.0,13.0,6.0,1.0,158.0,301.0,31.6,0.5681818181818182,1.05238851809111,0.0288028503714581
29,30.0,92562.0,899.0,516.0,1787.0,35.0,4180.0,14.0,7.0,1.0,159.0,313.0,31.8,0.0,1.05422200246235,0.0287135658763949
30,31.0,92226.0,928.0,503.0,1801.0,36.0,4484.0,15.0,7.0,0.0,166.0,316.0,33.2,1.183431952662722,1.08209170227024,0.0289718990302822
31,32.0,91830.0,932.0,530.0,1860.0,38.0,4787.0,16.0,7.0,0.0,192.0,365.0,38.4,0.0,1.10971475401114,0.0292030198423984
32,33.0,91483.0,925.0,514.0,1902.0,39.0,5114.0,15.0,8.0,1.0,227.0,322.0,45.4,0.0,1.1080051883508,0.0289978210968441
33,34.0,91106.0,929.0,535.0,1946.0,34.0,5424.0,18.0,8.0,0.0,225.0,346.0,45.0,0.0,1.06792691342803,0.0282504530630442
34,35.0,90693.0,933.0,593.0,1956.0,35.0,5764.0,17.0,9.0,1.0,207.0,371.0,41.4,0.0,1.01404044103203,0.0273267702419803
35,36.0,90320.0,946.0,565.0,1998.0,37.0,6108.0,17.0,9.0,0.0,171.0,340.0,34.2,0.5263157894736842,1.00041647716918,0.0270087061844999
36,37.0,89975.0,929.0,542.0,2049.0,37.0,6440.0,18.0,10.0,1.0,206.0,313.0,41.2,0.4975124378109453,1.01362217200557,0.0271289754534824
37,38.0,89610.0,932.0,543.0,2087.0,37.0,6763.0,18.0,10.0,0.0,215.0,342.0,43.0,0.0,0.996372073751324,0.0268701566034143
38,39.0,89253.0,924.0,546.0,2072.0,34.0,7144.0,16.0,11.0,1.0,208.0,340.0,41.6,0.0,0.995491079305927,0.0268366409452105
39,40.0,88915.0,916.0,530.0,2089.0,38.0,7486.0,14.0,12.0,1.0,196.0,312.0,39.2,0.5747126436781609,0.977262996422916,0.0265878842999053
40,41.0,88573.0,923.0,517.0,2104.0,37.0,7818.0,15.0,13.0,1.0,173.0,313.0,34.599999999999994,0.5681818181818182,0.992779085978673,0.0268122890268023
41,42.0,88222.0,912.0,515.0,2094.0,35.0,8192.0,17.0,13.0,0.0,202.0,325.0,40.400000000000006,0.5555555555555556,1.02183929149061,0.0272321086182633
42,43.0,87864.0,913.0,530.0,2102.0,33.0,8527.0,18.0,13.0,0.0,195.0,332.0,39.0,0.0,1.02885632796215,0.0273318990453532
43,44.0,87505.0,925.0,545.0,2088.0,30.0,8874.0,20.0,13.0,0.0,185.0,337.0,37.0,0.0,1.01773057399699,0.0271515520125304
44,45.0,87166.0,926.0,561.0,2078.0,29.0,9207.0,20.0,13.0,0.0,216.0,309.0,43.2,0.0,0.994861223539779,0.0268001913606758
45,46.0,86808.0,963.0,525.0,2119.0,32.0,9518.0,21.0,14.0,1.0,183.0,338.0,36.6,1.2121212121212122,0.9769870589393,0.0265313266351272
46,47.0,86470.0,943.0,521.0,2126.0,31.0,9873.0,21.0,15.0,1.0,216.0,312.0,43.2,0.684931506849315,0.988371428605802,0.0266932500733416
47,48.0,86131.0,934.0,504.0,2108.0,33.0,10254.0,21.0,15.0,0.0,210.0,317.0,42.0,0.0,0.986990455927881,0.0267046938489687
48,49.0,85806.0,920.0,479.0,2135.0,32.0,10593.0,20.0,15.0,0.0,211.0,298.0,42.2,0.0,0.97232645032127,0.0265322507919726
49,50.0,85492.0,925.0,485.0,2084.0,31.0,10944.0,24.0,15.0,0.0,183.0,292.0,36.6,0.0,0.950891288356133,0.0262721261496107
50,51.0,85211.0,896.0,468.0,2076.0,32.0,11279.0,23.0,15.0,0.0,158.0,259.0,31.6,0.53475935828877,0.941425408125276,0.0262012972500647
51,52.0,84908.0,863.0,463.0,2072.0,36.0,11619.0,24.0,15.0,0.0,194.0,277.0,38.8,0.5780346820809248,0.965055265437806,0.0266228473501017
52,53.0,84592.0,851.0,458.0,2042.0,37.0,11983.0,21.0,16.0,1.0,198.0,287.0,39.6,0.0,0.972606932294803,0.0268311741487555
53,54.0,84280.0,853.0,446.0,2023.0,37.0,12323.0,21.0,17.0,1.0,211.0,293.0,42.2,0.7575757575757576,0.950210759000679,0.0266007943897079
54,55.0,83994.0,858.0,427.0,2012.0,31.0,12641.0,20.0,17.0,0.0,187.0,264.0,37.4,0.0,0.937000281248942,0.0264917755220791
55,56.0,83703.0,849.0,426.0,2000.0,33.0,12951.0,20.0,18.0,1.0,178.0,265.0,35.6,0.5952380952380952,0.940578164123238,0.0266462360630654
56,57.0,83388.0,848.0,446.0,1974.0,33.0,13272.0,20.0,19.0,1.0,164.0,303.0,32.800000000000004,0.0,0.949347575552019,0.0268946702878629
57,58.0,83102.0,835.0,423.0,1963.0,31.0,13608.0,18.0,20.0,1.0,181.0,261.0,36.2,0.0,0.972706015858457,0.0273486780726587
58,59.0,82760.0,856.0,453.0,1945.0,29.0,13918.0,18.0,21.0,1.0,194.0,319.0,38.8,0.6622516556291391,0.964725972895683,0.0273413085061218
59,60.0,82477.0,819.0,435.0,1939.0,22.0,14267.0,19.0,22.0,1.0,160.0,257.0,32.0,0.7042253521126761,0.97661087426902,0.0275896391448105
60,61.0,82194.0,817.0,418.0,1929.0,23.0,14579.0,18.0,22.0,0.0,186.0,253.0,37.2,0.0,0.984272420129474,0.02777285305942
61,62.0,81919.0,814.0,415.0,1893.0,25.0,14892.0,19.0,23.0,1.0,182.0,247.0,36.4,0.5952380952380952,0.977341540173013,0.027732278961803
62,63.0,81642.0,816.0,426.0,1850.0,26.0,15199.0,18.0,23.0,0.0,178.0,248.0,35.6,0.0,0.961729857821553,0.0275568425731052
63,64.0,81366.0,795.0,433.0,1819.0,24.0,15522.0,16.0,25.0,2.0,183.0,260.0,36.6,1.3333333333333335,0.976896499745789,0.0278319220631082
64,65.0,81101.0,793.0,409.0,1806.0,28.0,15824.0,14.0,25.0,0.0,161.0,244.0,32.2,1.3157894736842104,0.971475693559285,0.0278246740906302
65,66.0,80799.0,789.0,398.0,1800.0,30.0,16143.0,15.0,26.0,1.0,202.0,274.0,40.400000000000006,0.6711409395973155,0.977340222876319,0.0279697085365566
66,67.0,80526.0,809.0,382.0,1785.0,27.0,16429.0,16.0,26.0,0.0,163.0,260.0,32.6,0.0,0.954281643023338,0.0276981785265943
67,68.0,80254.0,818.0,416.0,1738.0,28.0,16705.0,14.0,27.0,1.0,172.0,244.0,34.4,0.7042253521126761,0.957214903748476,0.0278067528446275
68,69.0,79985.0,810.0,412.0,1732.0,32.0,16987.0,15.0,27.0,0.0,158.0,250.0,31.6,0.0,0.937385187795882,0.027605996782741
69,70.0,79725.0,805.0,395.0,1735.0,28.0,17265.0,20.0,27.0,0.0,192.0,244.0,38.4,1.4084507042253522,0.958325666686766,0.0280169070358461
70,71.0,79456.0,794.0,399.0,1732.0,28.0,17543.0,21.0,27.0,0.0,170.0,247.0,34.0,0.0,0.937584519265897,0.027829954558351
71,72.0,79223.0,773.0,373.0,1726.0,26.0,17830.0,21.0,28.0,1.0,163.0,214.0,32.6,0.7299270072992701,0.965975696681536,0.02836202303256
72,73.0,78977.0,778.0,353.0,1721.0,19.0,18102.0,22.0,28.0,0.0,168.0,225.0,33.6,0.5988023952095809,0.984236811409786,0.0287498642367191
73,74.0,78714.0,752.0,377.0,1709.0,18.0,18379.0,22.0,29.0,1.0,161.0,248.0,32.2,0.7194244604316548,0.984953658060344,0.0288447329324994
